k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.525,0.354,1.0,Share of Total,euclidean,10
2,0.527,0.352,1.0,Share of Total,euclidean,12
2,0.527,0.352,1.0,Share of Total,euclidean,14
2,0.512,0.345,1.0,Share of Total,euclidean,6
2,0.512,0.345,1.0,Share of Total,euclidean,8
2,0.537,0.343,1.0,L2 Normalization,euclidean,8
2,0.527,0.333,1.0,L2 Normalization,euclidean,12
2,0.527,0.333,1.0,L2 Normalization,euclidean,14
2,0.525,0.333,1.0,L2 Normalization,euclidean,10
2,0.506,0.332,1.0,Share of Total,euclidean,4
2,0.525,0.331,1.0,Share of Top 30 (L1 Norm),euclidean,10
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),euclidean,12
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),euclidean,14
2,0.512,0.328,1.0,L2 Normalization,euclidean,6
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),euclidean,6
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),euclidean,8
2,0.506,0.317,1.0,L2 Normalization,euclidean,4
2,0.506,0.312,1.0,Share of Top 30 (L1 Norm),euclidean,4
2,0.494,0.312,1.0,TF-IDF,euclidean,4
2,0.493,0.31,1.0,TF-IDF,euclidean,10
2,0.493,0.31,1.0,TF-IDF,euclidean,6
2,0.493,0.31,1.0,TF-IDF,euclidean,8
2,0.495,0.307,1.0,TF-IDF,euclidean,12
2,0.495,0.307,1.0,TF-IDF,euclidean,14
3,0.355,0.211,1.0,L2 Normalization,euclidean,10
3,0.354,0.211,1.0,L2 Normalization,euclidean,8
3,0.347,0.206,1.0,L2 Normalization,euclidean,12
3,0.338,0.203,1.0,L2 Normalization,euclidean,6
3,0.354,0.201,1.0,Share of Total,euclidean,10
3,0.35,0.199,1.0,Share of Top 30 (L1 Norm),euclidean,14
3,0.35,0.198,1.0,Share of Total,euclidean,14
3,0.334,0.198,1.0,L2 Normalization,euclidean,14
3,0.341,0.195,1.0,Share of Total,euclidean,8
3,0.34,0.194,1.0,Share of Top 30 (L1 Norm),euclidean,10
3,0.324,0.186,1.0,Share of Top 30 (L1 Norm),euclidean,8
3,0.335,0.184,0.988,Share of Total,euclidean,12
3,0.313,0.184,1.0,TF-IDF,euclidean,10
3,0.304,0.181,0.997,L2 Normalization,euclidean,4
3,0.307,0.18,1.0,TF-IDF,euclidean,14
3,0.305,0.179,1.0,TF-IDF,euclidean,8
3,0.301,0.177,1.0,TF-IDF,euclidean,12
3,0.305,0.175,1.0,Share of Top 30 (L1 Norm),euclidean,4
3,0.295,0.174,1.0,TF-IDF,euclidean,4
3,0.28,0.17,0.999,Share of Top 30 (L1 Norm),euclidean,12
3,0.267,0.17,1.0,Share of Top 30 (L1 Norm),euclidean,6
3,0.273,0.169,1.0,Share of Total,euclidean,6
3,0.282,0.156,0.982,Share of Total,euclidean,4
3,0.258,0.155,1.0,TF-IDF,euclidean,6
4,0.326,0.197,1.0,L2 Normalization,euclidean,10
4,0.324,0.193,1.0,L2 Normalization,euclidean,14
4,0.316,0.192,1.0,L2 Normalization,euclidean,8
4,0.315,0.191,1.0,L2 Normalization,euclidean,12
4,0.308,0.188,1.0,L2 Normalization,euclidean,6
4,0.326,0.187,1.0,Share of Total,euclidean,10
4,0.325,0.183,1.0,Share of Top 30 (L1 Norm),euclidean,14
4,0.32,0.183,1.0,Share of Top 30 (L1 Norm),euclidean,10
4,0.318,0.182,0.999,Share of Total,euclidean,8
4,0.316,0.181,1.0,Share of Total,euclidean,12
4,0.315,0.181,0.999,Share of Top 30 (L1 Norm),euclidean,6
4,0.317,0.18,1.0,Share of Top 30 (L1 Norm),euclidean,12
4,0.313,0.179,0.997,Share of Total,euclidean,14
4,0.312,0.178,0.997,Share of Top 30 (L1 Norm),euclidean,8
4,0.285,0.175,1.0,L2 Normalization,euclidean,4
4,0.288,0.17,1.0,Share of Total,euclidean,6
4,0.277,0.164,0.963,TF-IDF,euclidean,10
4,0.276,0.164,1.0,TF-IDF,euclidean,12
4,0.274,0.162,1.0,TF-IDF,euclidean,14
4,0.269,0.16,0.994,TF-IDF,euclidean,8
4,0.267,0.16,1.0,TF-IDF,euclidean,6
4,0.263,0.156,0.992,Share of Total,euclidean,4
4,0.255,0.152,1.0,Share of Top 30 (L1 Norm),euclidean,4
4,0.221,0.137,0.998,TF-IDF,euclidean,4
5,0.293,0.178,1.0,L2 Normalization,euclidean,4
5,0.279,0.165,1.0,L2 Normalization,euclidean,10
5,0.279,0.165,0.995,L2 Normalization,euclidean,12
5,0.269,0.161,1.0,L2 Normalization,euclidean,8
5,0.271,0.16,0.999,L2 Normalization,euclidean,14
5,0.288,0.157,1.0,Share of Total,euclidean,10
5,0.262,0.156,1.0,TF-IDF,euclidean,4
5,0.243,0.156,0.959,Share of Top 30 (L1 Norm),euclidean,6
